id,Fermi name,Counterpart name,Bzcat5 name,Optical Class,RA (J2000.0),Dec (J2000.0),LII,BII,AngSep(deg),Theta95(deg),Redshift,SED Class,Log nuSync.(Hz),Log nuSync.Z corr.(Hz),Probability Bayesian,Reliability LR RG,Reliability LR XG,Significance,Flux 1-100 GeV (ph/cm2/s),Flux 1-100 GeV Error,Spectral Index,Spectral Type,Power Law Index,Radio flux(mJy),Radio flag,X Flux(erg cm-2 s-1),USNOVmag,SDSSVmag,ARO,AOX,CLEAN
509,3FGL J0748.8+4929,NVSS J074837+493040,, bcu II,117.1573273,49.51139496,169.11,29.3,0.047,0.162,0.000,LSP,13.811,13.811,0.97,0.000,0.000,5.67,0.00000000033374434,6.84e-11,2.3391,PowerLaw,2.34,35.4111,wise/nvss,0.000,20.0529,19.24,0.4908,-9.9,Y
510,3FGL J0749.4+1059,TXS 0746+110,, bcu I,117.3641056,10.95920181,209.49,17.78,0.025,0.128,0.214,ISP,14.265,14.349,0.99,0.82,0.000,6.04,0.00000000040625289,7.98e-11,2.203,PowerLaw,2.2,199.0467,nvss,0.000,18.8818,17.17,0.5089,-9.9,Y
511,3FGL J0750.6+1232,OI 280,5BZQJ0750+1231,fsrq,117.7168572,12.51800782,208.16,18.76,0.047,0.068,0.889,LSP,12.795,13.071,1,0.95,0.000,13.26,0.0000000009376917,1.02e-10,2.4112,PowerLaw,2.41,1486.9797,nvss,0.000,17.1955,17.17,0.7062,1.1326,Y
512,3FGL J0753.1+5353,4C +54.15,5BZBJ0753+5352,bll,118.2557691,53.88323251,164.2,30.5,0.017,0.041,0.000,LSP,13.28,13.28,1,0.96,0.84,16.65,0.00000000097193953,8.98e-11,2.1059,PowerLaw,2.11,803.8206,nvss,8.98e-13,17.365,17.22,0.6515,1.3734,Y
513,3FGL J0754.8+4824,GB1 0751+485,5BZBJ0754+4823,bll,118.6902937,48.3974301,170.55,30.14,0.018,0.036,0.37671,LSP,13.7,13.839,1,0.92,0.87,18.5,0.0000000011107831,9.61e-11,2.1427,PowerLaw,2.14,265.061,nvss,1.22e-12,17.0027,16.37,0.4417,1.4549,Y
514,3FGL J0756.3-6433,SUMSS J075625-643031,, bcu II,119.1025343,-64.50846616,277.22,-17.73,0.056,0.064,0.000,HSP,15.867,15.867,1,0.000,0.000,7.79,0.00000000050438659,8.23e-11,2.217,PowerLaw,2.22,13,wise/sumss,0.000,18.0903,0.000,0.276,-9.9,Y
515,3FGL J0757.0+0956,PKS 0754+100,5BZBJ0757+0956,bll,119.277679,9.943014511,211.31,19.05,0.006,0.035,0.266,LSP,13.39,13.492,1,0.97,0.91,24.47,0.0000000018570876,1.30e-10,2.1819,PowerLaw,2.18,957.043,nvss,2.28e-12,16.5006,14.64,0.4311,1.6054,Y
516,3FGL J0758.1+1130,TXS 0755+117,, fsrq,119.5319079,11.61279105,209.82,19.99,0.11,0.126,0.56879,LSP,13.425,13.621,0.97,0.84,0.000,4.94,0.0000000003116099,7.38e-11,2.1647,PowerLaw,2.16,468.4612,nvss,0.000,16.0266,16.87,0.5847,-9.9,Y
517,3FGL J0758.7+3747,NGC 2484,, rdg,119.6171174,37.78661319,182.67,28.82,0.049,0.096,0.04284,ISP,14.6,14.618,0.99,0.96,0.000,4.56,0.00000000025076041,6.45e-11,2.1556,PowerLaw,2.16,2721.8669,nvss,8.23e-13,9.1884,12.22,0.2657,2.1835,Y
518,3FGL J0758.9+2705,SDSS J075846.99+270515.5,5BZGJ0758+2705,bll,119.696024,27.0874977,194.27,25.92,0.028,0.082,0.099,ISP,14.35,14.391,1,0.000,0.000,8.26,0.00000000046869553,7.62e-11,2.1324,PowerLaw,2.13,54.251,nvss,0.000,15.9558,16.43,0.4208,-9.9,Y
